partition,lemma,feature,unimorph_features,form,source_rows
train,lactate,past,V;PST,lactated,162598
train,lactate,participle,V;V.PTCP;PRS,lactating,162597
train,lactate,third_person,V;PRS;3;SG,lactates,162596
train,plicate,past,V;PST,plicated,178393
train,plicate,participle,V;V.PTCP;PRS,plicating,178392
train,plicate,third_person,V;PRS;3;SG,plicates,178391
train,flehm,past,V;PST,flehmed,18779
train,flehm,participle,V;V.PTCP;PRS,flehming,18778
train,flehm,third_person,V;PRS;3;SG,flehms,18777
train,holloo,past,V;PST,hollooed,70394
train,holloo,participle,V;V.PTCP;PRS,hollooing,70393
train,holloo,third_person,V;PRS;3;SG,holloos,70392
train,preslice,past,V;PST,presliced,59479
train,preslice,participle,V;V.PTCP;PRS,preslicing,59478
train,preslice,third_person,V;PRS;3;SG,preslices,59477
train,rematch,past,V;PST,rematched,178382
train,rematch,participle,V;V.PTCP;PRS,rematching,178381
train,rematch,third_person,V;PRS;3;SG,rematches,178380
train,mosh,past,V;PST,moshed,188661
train,mosh,participle,V;V.PTCP;PRS,moshing,188660
train,mosh,third_person,V;PRS;3;SG,moshes,188659
train,misguess,past,V;PST,misguessed,69415
train,misguess,participle,V;V.PTCP;PRS,misguessing,69414
train,misguess,third_person,V;PRS;3;SG,misguesses,69413
train,everlive,past,V;PST,everlived,159500
train,everlive,participle,V;V.PTCP;PRS,everliving,159499
train,everlive,third_person,V;PRS;3;SG,everlives,159498
train,pestre,past,V;PST,pestred,65603
train,pestre,participle,V;V.PTCP;PRS,pestring,65602
train,pestre,third_person,V;PRS;3;SG,pestres,65601
train,skim,past,V;PST,skimmed,197493
train,skim,participle,V;V.PTCP;PRS,skimming,197492
train,skim,third_person,V;PRS;3;SG,skims,197491
train,teen,past,V;PST,teened,34826
train,teen,participle,V;V.PTCP;PRS,teening,34825
train,teen,third_person,V;PRS;3;SG,teens,34824
train,reside,past,V;PST,resided,115395
train,reside,participle,V;V.PTCP;PRS,residing,115394
train,reside,third_person,V;PRS;3;SG,resides,115393
train,grapnel,past,V;PST,grapnelled,27469
train,grapnel,participle,V;V.PTCP;PRS,grapnelling,27468
train,grapnel,third_person,V;PRS;3;SG,grapnels,27467
train,quill,past,V;PST,quilled,106087
train,quill,participle,V;V.PTCP;PRS,quilling,106086
train,quill,third_person,V;PRS;3;SG,quills,106085
