year,month,decimal_date,co2_ppm
1990,1,1990.0417,353.86
1990,2,1990.1250,355.10
1990,3,1990.2083,355.75
1990,4,1990.2917,356.38
1990,5,1990.3750,357.38
1990,6,1990.4583,356.39
1990,7,1990.5417,354.89
1990,8,1990.6250,353.06
1990,9,1990.7083,351.38
1990,10,1990.7917,351.69
1990,11,1990.8750,353.14
1990,12,1990.9583,354.41
1991,1,1991.0417,354.93
1991,2,1991.1250,355.82
1991,3,1991.2083,357.33
1991,4,1991.2917,358.77
1991,5,1991.3750,359.23
1991,6,1991.4583,358.23
1991,7,1991.5417,356.30
1991,8,1991.6250,353.97
1991,9,1991.7083,352.34
1991,10,1991.7917,352.43
1991,11,1991.8750,353.89
1991,12,1991.9583,355.21
1992,1,1992.0417,356.34
1992,2,1992.1250,357.21
1992,3,1992.2083,357.97
1992,4,1992.2917,359.22
1992,5,1992.3750,359.71
1992,6,1992.4583,359.44
1992,7,1992.5417,357.15
1992,8,1992.6250,354.99
1992,9,1992.7083,353.01
1992,10,1992.7917,353.40
1992,11,1992.8750,354.42
1992,12,1992.9583,355.68
1993,1,1993.0417,357.10
1993,2,1993.1250,357.42
1993,3,1993.2083,358.59
1993,4,1993.2917,359.39
1993,5,1993.3750,360.30
1993,6,1993.4583,359.64
1993,7,1993.5417,357.45
1993,8,1993.6250,355.76
1993,9,1993.7083,354.14
1993,10,1993.7917,354.23
1993,11,1993.8750,355.53
1993,12,1993.9583,357.03
1994,1,1994.0417,358.36
1994,2,1994.1250,359.04
1994,3,1994.2083,360.11
1994,4,1994.2917,361.36
1994,5,1994.3750,361.78
1994,6,1994.4583,360.94
1994,7,1994.5417,359.51
1994,8,1994.6250,357.59
1994,9,1994.7083,355.86
1994,10,1994.7917,356.21
1994,11,1994.8750,357.65
1994,12,1994.9583,359.10
1995,1,1995.0417,360.04
1995,2,1995.1250,361.00
1995,3,1995.2083,361.98
1995,4,1995.2917,363.44
1995,5,1995.3750,363.83
1995,6,1995.4583,363.33
1995,7,1995.5417,361.78
1995,8,1995.6250,359.33
1995,9,1995.7083,358.32
1995,10,1995.7917,358.14
1995,11,1995.8750,359.61
1995,12,1995.9583,360.82
1996,1,1996.0417,362.20
1996,2,1996.1250,363.36
1996,3,1996.2083,364.28
1996,4,1996.2917,364.69
1996,5,1996.3750,365.25
1996,6,1996.4583,365.06
1996,7,1996.5417,363.69
1996,8,1996.6250,361.55
1996,9,1996.7083,359.69
1996,10,1996.7917,359.72
1996,11,1996.8750,361.04
1996,12,1996.9583,362.39
1997,1,1997.0417,363.24
1997,2,1997.1250,364.21
1997,3,1997.2083,364.65
1997,4,1997.2917,366.49
1997,5,1997.3750,366.77
1997,6,1997.4583,365.73
1997,7,1997.5417,364.46
1997,8,1997.6250,362.40
1997,9,1997.7083,360.44
1997,10,1997.7917,360.97
1997,11,1997.8750,362.65
1997,12,1997.9583,364.51
1998,1,1998.0417,365.39
1998,2,1998.1250,366.10
1998,3,1998.2083,367.36
1998,4,1998.2917,368.79
1998,5,1998.3750,369.56
1998,6,1998.4583,369.13
1998,7,1998.5417,367.98
1998,8,1998.6250,366.10
1998,9,1998.7083,364.16
1998,10,1998.7917,364.54
1998,11,1998.8750,365.67
1998,12,1998.9583,367.30
1999,1,1999.0417,368.35
1999,2,1999.1250,369.28
1999,3,1999.2083,369.84
1999,4,1999.2917,371.15
1999,5,1999.3750,371.12
1999,6,1999.4583,370.46
1999,7,1999.5417,369.61
1999,8,1999.6250,367.06
1999,9,1999.7083,364.95
1999,10,1999.7917,365.52
1999,11,1999.8750,366.88
1999,12,1999.9583,368.26
