role,source_file,source_id,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63,label
fit,optdigits.tra,3015,0,0,3,13,11,1,0,0,0,10,15,10,11,10,0,0,0,6,16,1,1,13,2,0,0,4,8,0,0,8,8,0,0,4,8,0,0,8,8,0,0,3,12,0,0,14,8,0,0,0,13,10,12,16,3,0,0,0,4,15,10,3,0,0,0
fit,optdigits.tra,621,0,0,4,15,8,0,0,0,0,0,12,16,15,3,0,0,0,1,16,11,7,14,2,0,0,4,14,0,0,12,8,0,0,4,12,0,0,14,5,0,0,4,14,1,0,15,5,0,0,0,13,9,9,16,6,0,0,0,7,16,12,5,0,0,0
fit,optdigits.tra,436,0,0,2,15,11,1,0,0,0,0,9,12,14,13,2,0,0,2,15,2,1,13,6,0,0,7,16,0,0,9,8,0,0,4,16,0,0,10,7,0,0,3,16,3,2,14,2,0,0,0,14,14,14,9,0,0,0,0,3,11,13,1,0,0,0
fit,optdigits.tra,605,0,0,10,16,7,0,0,0,0,1,16,16,15,3,0,0,0,4,16,16,16,13,0,0,0,4,16,10,11,14,2,0,0,6,16,0,0,12,4,0,0,5,15,0,0,10,7,0,0,4,16,8,11,16,0,0,0,1,10,15,13,4,0,0,0
fit,optdigits.tra,926,0,0,5,15,13,2,0,0,0,3,16,16,16,16,0,0,0,8,7,1,3,14,7,0,0,3,1,0,0,5,8,0,0,5,10,0,0,5,8,0,0,3,16,12,8,14,8,0,0,0,13,16,16,16,5,0,0,0,3,14,16,10,0,0,0
fit,optdigits.tra,1850,0,0,1,15,13,2,0,0,0,0,8,16,13,9,0,0,0,0,9,11,2,12,2,0,0,5,16,7,0,9,6,0,0,4,16,8,0,9,9,0,0,1,15,4,0,13,8,0,0,0,10,14,12,16,5,0,0,0,1,13,15,8,0,0,0
fit,optdigits.tra,268,0,0,9,16,10,0,0,0,0,0,4,10,15,2,0,0,0,0,13,0,4,13,0,0,0,4,16,0,0,13,2,0,0,7,12,0,0,10,6,0,0,8,13,1,2,13,8,0,0,5,16,16,16,16,2,0,0,0,9,16,15,8,0,0,0
fit,optdigits.tra,1696,0,0,2,11,16,10,0,0,0,0,10,15,2,14,4,0,0,3,15,1,0,10,8,0,0,7,10,0,0,12,5,0,0,8,8,0,0,14,4,0,0,3,12,0,9,14,1,0,0,0,13,10,16,5,0,0,0,0,2,10,12,2,0,0,0
fit,optdigits.tra,3058,0,0,5,13,8,3,0,0,0,0,14,16,16,12,0,0,0,3,15,1,3,12,5,0,0,4,10,0,0,7,8,0,0,4,8,0,0,9,8,0,0,4,11,1,1,15,6,0,0,0,15,12,11,13,0,0,0,0,3,13,13,3,0,0,0
fit,optdigits.tra,3439,0,0,4,16,11,4,0,0,0,1,14,13,13,16,0,0,0,2,15,2,0,12,4,0,0,4,13,0,0,13,1,0,0,3,13,0,0,15,1,0,0,1,16,0,4,15,1,0,0,0,14,10,11,13,0,0,0,0,5,15,15,4,0,0,0
fit,optdigits.tra,2811,0,0,7,16,16,16,2,0,0,0,14,14,9,16,2,0,0,2,16,6,0,9,7,0,0,4,16,1,0,8,8,0,0,6,16,0,0,12,8,0,0,5,16,4,2,16,5,0,0,0,15,16,16,13,0,0,0,0,8,13,10,2,0,0,0
fit,optdigits.tra,2326,0,0,9,16,16,5,0,0,0,2,16,7,9,15,1,0,0,6,15,0,0,13,7,0,0,3,16,0,0,8,12,0,0,8,16,4,0,8,12,0,0,11,13,1,0,10,11,0,0,5,16,6,5,15,7,0,0,0,10,16,16,9,0,0,0
fit,optdigits.tra,2736,0,0,8,13,4,0,0,0,0,1,14,10,15,3,0,0,0,2,16,1,4,14,0,0,0,4,16,0,0,12,5,0,0,4,13,0,0,7,9,0,0,4,16,1,0,10,8,0,0,1,15,8,9,15,3,0,0,0,7,15,14,4,0,0,0
fit,optdigits.tra,610,0,0,7,14,12,0,0,0,0,5,16,16,16,6,0,0,0,8,16,8,5,15,3,0,0,8,12,0,0,10,7,0,0,8,11,0,0,12,5,0,0,4,13,0,0,12,5,0,0,0,16,12,9,16,3,0,0,0,8,14,12,7,0,0,0
fit,optdigits.tra,1333,0,0,6,15,8,0,0,0,0,2,15,7,16,5,0,0,0,6,11,1,10,14,2,0,0,7,7,0,0,10,6,0,0,7,5,0,0,8,8,0,0,4,10,0,0,10,7,0,0,0,12,8,4,15,2,0,0,0,2,12,12,8,0,0,0
fit,optdigits.tra,1953,0,0,2,12,6,0,0,0,0,1,12,10,11,3,0,0,0,1,16,7,3,13,1,0,0,2,16,1,0,9,5,0,0,2,16,2,0,2,10,0,0,0,14,8,0,7,13,0,0,0,10,7,7,16,5,0,0,0,2,13,12,6,0,0,0
fit,optdigits.tra,826,0,0,3,12,13,1,0,0,0,1,14,11,10,8,0,0,0,4,16,3,0,12,2,0,0,4,13,1,0,9,6,0,0,6,12,0,0,5,8,0,0,3,13,0,0,4,9,0,0,0,15,8,4,13,8,0,0,0,5,15,15,9,0,0,0
fit,optdigits.tra,16,0,1,10,15,8,0,0,0,0,6,16,7,11,8,0,0,0,7,16,3,1,13,1,0,0,7,13,0,0,10,6,0,0,8,12,0,0,14,4,0,0,3,16,0,6,15,2,0,0,0,15,9,16,4,0,0,0,0,9,15,8,0,0,0,0
fit,optdigits.tra,473,0,0,12,16,10,0,0,0,0,3,16,6,14,9,0,0,0,7,14,0,3,15,3,0,0,9,12,0,0,8,10,0,0,8,12,0,0,4,12,0,0,7,13,0,0,5,12,0,0,2,16,6,2,13,9,0,0,0,9,16,16,13,0,0,0
fit,optdigits.tra,1585,0,0,3,15,13,1,0,0,0,1,15,12,13,10,0,0,0,3,16,1,1,12,2,0,0,6,12,0,0,4,6,0,0,4,11,0,0,4,8,0,0,0,13,3,5,13,8,0,0,0,10,15,16,16,5,0,0,0,2,14,12,5,0,0,0
