source_row,split,variance,skewness,curtosis,entropy,class
479,pool,-1.7781,0.8546,7.1303,0.027572,0
514,pool,5.9374,6.1664,-2.5905,-0.36553,0
379,pool,2.8523,9.0096,-3.761,-3.3371,0
606,pool,1.0652,8.3682,-1.4004,-1.6509,0
1367,pool,-2.41,3.7433,-0.40215,-1.2953,1
86,pool,4.0296,2.6756,0.80685,0.71679,0
893,pool,0.21431,-0.69529,0.87711,0.29653,1
780,pool,-1.8187,-9.0366,9.0162,-0.12243,1
1326,pool,-5.525,6.3258,0.89768,-6.6241,1
1288,pool,-3.9933,2.6218,0.62863,-1.1595,1
911,pool,0.55298,-3.4619,1.7048,1.1008,1
983,pool,-3.518,2.8763,0.1548,-1.2086,1
1271,pool,-0.74324,-0.32902,-0.42785,0.23317,1
1099,pool,-1.8046,-6.8141,6.7019,1.1681,1
474,pool,2.8209,7.3108,-0.81857,-1.8784,0
1197,pool,-2.0149,3.6874,-1.9385,-3.8918,1
158,pool,3.9479,-3.7723,2.883,0.019813,0
1098,pool,-2.5919,-1.0553,3.8949,0.77757,1
574,pool,2.8521,9.171,-3.6461,-1.2047,0
232,pool,-2.3361,11.9604,3.0835,-5.4435,0
612,pool,3.8197,8.9951,-4.383,-4.0327,0
43,pool,-0.0068919,9.2931,-0.41243,-1.9638,0
1241,pool,-3.551,1.8955,0.1865,-2.4409,1
166,pool,4.1927,-3.2674,2.5839,0.21766,0
691,pool,5.8519,5.3905,-2.4037,-0.061652,0
1351,pool,-0.21888,-2.2038,-0.0954,0.56421,1
996,pool,-2.1234,1.1815,-0.55552,-0.81165,1
1347,pool,1.2572,4.8731,-5.2861,-5.8741,1
572,pool,2.2517,-5.1422,4.2916,-1.2487,0
898,pool,-0.28696,3.1784,-3.5767,-3.1896,1
1067,pool,-2.6286,0.18002,1.7956,0.97282,1
411,pool,1.941,0.46351,4.6472,1.0879,0
620,pool,0.56953,7.6294,1.5754,-3.2233,0
513,pool,2.6648,10.754,-3.3994,-4.1685,0
807,pool,-6.2003,8.6806,0.0091344,-3.703,1
60,pool,-0.78289,11.3603,-0.37644,-7.0495,0
485,pool,4.7432,2.1086,0.1368,1.6543,0
905,pool,0.50225,0.65388,-1.1793,0.39998,1
463,pool,4.9362,7.6046,-2.3429,-0.85302,0
458,pool,0.64215,3.1287,4.2933,0.64696,0
675,pool,1.3754,8.8793,-1.9136,-0.53751,0
1278,pool,0.56232,1.0015,-2.2726,-0.0060486,1
429,pool,3.4246,-0.14693,0.80342,0.29136,0
212,pool,3.5156,10.1891,-4.2759,-4.978,0
460,pool,0.77445,9.0552,-2.4089,-1.3884,0
90,pool,3.8027,0.81529,2.1041,1.0245,0
204,pool,4.1757,10.2615,-3.8552,-4.3056,0
607,pool,-1.4275,11.8797,0.41613,-6.9978,0
475,pool,2.5817,9.7546,-3.1749,-2.9957,0
716,pool,3.4916,8.5709,-3.0326,-0.59182,0
1088,pool,0.518,0.25865,-0.84085,0.96118,1
315,pool,1.1811,8.3847,-2.0567,-0.90345,0
1079,pool,-0.37013,-5.554,4.7749,1.547,1
230,pool,5.4944,1.5478,0.041694,1.9284,0
147,pool,3.8584,0.78425,1.1033,1.7008,0
596,pool,3.1836,7.2321,-1.0713,-2.5909,0
247,pool,1.6472,0.48213,4.7449,1.225,0
610,pool,3.4092,5.4049,-2.5228,-0.89958,0
563,pool,-2.4604,12.7302,0.91738,-7.6418,0
496,pool,-0.12624,10.3216,-3.7121,-6.1185,0
767,pool,-3.5681,-8.213,10.083,0.96765,1
118,pool,2.108,6.7955,-0.1708,0.4905,0
1181,pool,-2.2183,-1.254,2.9986,0.36378,1
346,pool,-1.8584,7.886,-1.6643,-1.8384,0
650,pool,-0.38388,-1.0471,8.0514,0.49567,0
953,pool,-1.2846,3.2715,-1.7671,-3.2608,1
8,pool,2.0922,-6.81,8.4636,-0.60216,0
1194,pool,-3.7573,-8.2916,10.3032,0.38059,1
152,pool,-1.7599,11.9211,2.6756,-3.3241,0
759,pool,3.931,1.8541,-0.023425,1.2314,0
1014,pool,-0.50816,2.868,-1.8108,-2.2612,1
1280,pool,-5.3012,7.3915,0.029699,-7.3987,1
500,pool,0.88444,6.5906,0.55837,-0.44182,0
163,pool,0.17346,7.8695,0.26876,-3.7883,0
845,pool,0.0096613,3.5612,-4.407,-4.4103,1
703,pool,3.7522,-3.6978,3.9943,1.3051,0
1267,pool,-1.4377,-1.432,2.1144,0.42067,1
393,pool,0.86736,5.5643,1.6765,-0.16769,0
97,pool,2.9543,1.076,0.64577,0.89394,0
1342,pool,-2.2625,-0.099335,2.8127,0.48662,1
1276,pool,-3.0986,-10.4602,8.9717,-2.3427,1
573,pool,5.504,10.3671,-4.413,-4.0211,0
421,pool,-2.484,12.1611,2.8204,-3.7418,0
342,pool,-1.1804,11.5093,0.15565,-6.8194,0
1277,pool,-0.89809,-4.4862,2.2009,0.50731,1
439,pool,4.0524,5.6802,-1.9693,0.026279,0
523,pool,0.52855,0.96427,4.0243,-1.0483,0
1094,pool,0.74428,-3.7723,1.6131,1.5754,1
385,pool,0.54777,10.3754,-1.5435,-4.1633,0
814,pool,-2.1333,1.5685,-0.084261,-1.7453,1
748,pool,-0.023579,7.1742,0.78457,-0.75734,0
89,pool,4.1197,-2.7956,2.0707,0.67412,0
63,pool,4.2586,11.2962,-4.0943,-4.3457,0
1037,pool,-2.3898,-0.78427,3.0141,0.76205,1
884,pool,-3.3604,-0.32696,2.1324,0.6017,1
1019,pool,-0.40804,0.54214,-0.52725,0.6586,1
1092,pool,-1.7101,-8.7903,7.9735,-0.45475,1
571,pool,3.9382,0.9291,0.78543,0.6767,0
654,pool,3.3577,-4.3062,6.0241,0.18274,0
1245,pool,-3.9204,4.0723,-0.23678,-2.1151,1
96,pool,-0.64472,-4.6062,8.347,-2.7099,0
234,pool,0.46901,-0.63321,7.3848,0.36507,0
1170,pool,0.98296,3.4226,-3.9692,-1.7116,1
312,pool,5.0297,-4.9704,3.5025,-0.23751,0
1103,pool,0.7376,4.8525,-4.7986,-5.6659,1
292,pool,-2.2153,11.9625,0.078538,-7.7853,0
961,pool,-2.2501,3.3129,-0.88369,-2.8974,1
1344,pool,-0.95923,-6.7128,4.9857,0.32886,1
1164,pool,0.6818,4.8504,-5.2133,-6.1043,1
375,pool,-1.5055,0.070346,6.8681,-0.50648,0
225,pool,-0.36038,4.1158,3.1143,-0.37199,0
447,pool,2.4527,2.9653,0.20021,-0.056479,0
924,pool,0.4283,-0.94981,-1.0731,0.3211,1
882,pool,-4.4861,-13.2889,17.3087,-3.2194,1
785,pool,-3.4083,4.8587,-0.76888,-4.8668,1
763,pool,-1.3971,3.3191,-1.3927,-1.9948,1
661,pool,4.2756,-2.6528,2.1375,0.94437,0
468,pool,2.9742,8.96,-2.9024,-1.0379,0
553,pool,3.6894,9.887,-4.0788,-4.3664,0
1126,pool,-3.5985,-13.6593,17.6052,-2.4927,1
42,pool,-0.2062,9.2207,-3.7044,-6.8103,0
1359,pool,-1.0116,-0.19038,-0.90597,0.003003,1
789,pool,-0.47465,-4.3496,1.9901,0.7517,1
958,pool,-0.51003,-0.23591,0.020273,0.76334,1
1284,pool,0.15423,0.11794,-1.6823,0.59524,1
1357,pool,-4.0786,2.9239,0.87026,-0.65389,1
1328,pool,-0.24037,-1.7837,2.135,1.2418,1
1002,pool,-0.036127,1.525,-1.4089,-0.76121,1
1159,pool,-3.3203,-0.02691,2.9618,-0.44958,1
341,pool,4.9923,7.8653,-2.3515,-0.71984,0
256,pool,4.1425,-3.6792,3.8281,1.6297,0
664,pool,3.7798,-3.3109,2.6491,0.066365,0
552,pool,3.534,9.3614,-3.6316,-1.2461,0
1204,pool,-6.7387,6.9879,0.67833,-7.5887,1
1139,pool,-2.5961,-9.349,9.7942,-0.28018,1
272,pool,5.3915,9.9946,-3.8081,-3.3642,0
914,pool,-4.2249,6.2699,0.15822,-5.5457,1
1007,pool,-0.98193,2.7956,-1.2341,-1.5668,1
517,pool,-2.3983,12.606,2.9464,-5.7888,0
977,pool,-2.2987,-5.227,5.63,0.91722,1
108,pool,-1.8584,7.886,-1.6643,-1.8384,0
338,pool,1.0191,2.33,4.9334,0.82929,0
1075,pool,-0.41965,2.9094,-1.7859,-2.2069,1
1199,pool,-1.7886,-6.3486,5.6154,0.42584,1
1208,pool,-3.793,-12.7095,12.7957,-2.825,1
583,pool,4.0552,0.40143,1.4563,0.65343,0
813,pool,-2.0659,1.0512,-0.46298,-1.0974,1
