direct_adc,abdomen1_adc,abdomen2_adc,abdomen3_adc,abdomen4_adc
287,-89,133,220,325
266,-140,126,217,353
247,-188,120,212,375
237,-235,114,202,389
235,-280,104,185,394
236,-329,86,159,392
236,-382,60,126,387
236,-439,28,89,381
237,-494,-4,53,374
243,-541,-33,22,365
253,-576,-54,-1,352
264,-596,-65,-17,334
273,-605,-68,-26,315
278,-606,-63,-30,299
282,-604,-56,-28,290
285,-598,-48,-20,290
288,-590,-43,-8,295
288,-577,-41,6,300
284,-558,-39,15,296
277,-531,-37,14,277
275,-495,-34,1,240
283,-450,-31,-22,187
303,-397,-32,-48,125
328,-338,-39,-70,61
346,-279,-51,-85,0
349,-223,-65,-94,-50
338,-173,-78,-100,-88
321,-130,-85,-107,-113
314,-95,-89,-114,-128
327,-67,-89,-120,-135
358,-46,-87,-123,-137
398,-28,-86,-120,-136
432,-12,-85,-114,-136
450,6,-84,-107,-140
453,26,-84,-104,-149
449,45,-87,-106,-164
447,59,-97,-115,-186
452,63,-115,-129,-210
461,56,-137,-144,-234
465,42,-159,-156,-251
459,26,-175,-161,-260
447,17,-181,-156,-259
438,19,-179,-142,-251
441,28,-171,-123,-243
461,40,-163,-104,-237
488,46,-159,-90,-234
506,44,-158,-84,-233
500,34,-158,-84,-229
468,22,-158,-87,-220
422,13,-156,-89,-207
384,9,-152,-87,-191
370,10,-147,-81,-174
383,12,-143,-72,-159
413,12,-138,-60,-144
441,9,-130,-48,-128
452,6,-119,-34,-111
442,4,-105,-22,-96
418,5,-92,-11,-86
393,6,-84,-3,-83
376,6,-83,2,-83
370,3,-88,4,-84
372,-2,-95,5,-79
379,-8,-99,6,-70
388,-10,-97,9,-60
399,-6,-89,13,-54
406,0,-81,19,-56
403,7,-76,26,-66
385,10,-77,31,-77
355,9,-83,34,-84
322,5,-88,33,-82
300,3,-88,29,-74
300,7,-81,21,-64
319,17,-69,13,-59
346,29,-56,5,-62
363,38,-45,0,-71
361,41,-39,-4,-80
340,35,-35,-6,-85
313,25,-33,-6,-84
295,14,-30,-5,-80
298,6,-29,-2,-75
322,2,-31,2,-71
358,1,-38,8,-69
392,2,-47,13,-67
413,3,-56,15,-64
414,3,-59,13,-62
397,2,-57,9,-62
370,-2,-50,4,-65
343,-10,-43,1,-70
325,-19,-38,2,-72
322,-26,-36,6,-69
334,-26,-36,12,-63
354,-17,-37,16,-56
371,-1,-39,17,-53
379,14,-42,13,-54
374,22,-46,7,-59
362,22,-51,2,-63
351,13,-53,-2,-63
347,2,-49,-3,-60
352,-5,-40,-1,-55
360,-8,-29,1,-52
363,-7,-22,4,-52
355,-5,-22,8,-54
338,-4,-30,13,-54
320,-6,-41,19,-51
313,-8,-51,26,-44
321,-9,-55,31,-38
341,-9,-55,34,-36
359,-7,-53,32,-39
366,-4,-55,27,-47
354,-3,-62,21,-57
330,-2,-71,14,-63
303,-2,-80,10,-64
287,-1,-85,7,-59
287,0,-84,7,-49
306,2,-78,7,-38
337,4,-70,7,-30
372,7,-61,7,-25
403,12,-54,7,-24
420,16,-48,9,-25
417,19,-43,11,-24
392,21,-38,15,-19
352,21,-32,20,-9
310,21,-25,25,2
281,23,-17,29,12
273,27,-8,31,15
283,34,0,31,12
301,41,5,29,4
313,44,3,26,-3
315,44,-4,23,-7
310,42,-13,24,-4
311,41,-21,27,2
327,45,-24,33,9
357,53,-22,39,14
390,62,-18,41,15
412,65,-16,38,12
416,58,-19,33,7
406,41,-28,28,1
392,22,-41,27,-2
387,6,-53,31,-4
392,-1,-63,39,-2
400,1,-70,48,0
399,6,-74,52,3
379,5,-77,49,5
345,-3,-80,39,6
308,-18,-82,28,6
287,-32,-84,17,4
293,-41,-85,12,3
325,-41,-85,10,2
369,-37,-85,11,2
404,-33,-84,12,3
416,-34,-83,12,7
402,-40,-80,11,10
373,-47,-76,12,11
347,-52,-74,13,10
339,-55,-73,15,4
353,-57,-74,14,-4
380,-60,-77,10,-11
409,-65,-79,4,-15
426,-72,-80,-1,-14
427,-77,-81,-3,-12
415,-80,-84,-2,-11
395,-82,-92,0,-14
374,-87,-105,1,-20
357,-94,-121,2,-26
348,-102,-134,4,-24
347,-107,-140,10,-13
357,-106,-135,23,7
377,-97,-123,39,29
403,-86,-107,55,48
434,-75,-91,67,61
465,-68,-78,74,71
497,-64,-66,78,81
535,-60,-51,82,98
582,-51,-31,90,124
643,-36,-3,104,162
719,-15,31,125,210
807,11,68,151,265
904,39,105,181,322
1002,68,137,211,375
1094,95,160,236,412
1168,117,171,249,428
1213,128,166,247,417
1221,125,149,229,383
1190,107,122,199,336
1124,80,94,165,285
1034,50,67,133,237
931,20,44,106,192
821,-6,19,82,148
705,-32,-13,57,100
576,-60,-55,29,46
434,-92,-106,-2,-8
281,-124,-155,-31,-56
131,-152,-193,-52,-88
2,-171,-212,-61,-102
-86,-178,-211,-59,-99
-127,-175,-194,-49,-85
-122,-166,-171,-37,-67
-88,-157,-150,-27,-52
-45,-150,-136,-21,-40
-10,-149,-127,-17,-29
14,-149,-121,-13,-15
32,-148,-112,-4,4
59,-142,-101,11,26
105,-130,-87,31,46
170,-114,-74,51,62
242,-100,-65,67,71
305,-92,-60,74,75
343,-93,-58,73,76
354,-101,-55,64,79
348,-112,-49,52,81
341,-121,-39,39,82
347,-128,-27,30,79
365,-134,-20,27,72
387,-141,-19,28,66
398,-151,-26,34,64
389,-163,-38,41,69
366,-173,-49,47,80
343,-179,-55,50,92
337,-180,-55,50,101
356,-178,-50,47,105
392,-176,-44,45,105
428,-175,-43,46,107
449,-175,-45,52,114
446,-174,-48,62,124
425,-169,-48,71,135
398,-161,-43,78,144
378,-152,-32,80,148
369,-144,-19,80,148
369,-138,-7,79,147
374,-132,2,79,148
378,-125,7,78,152
384,-116,8,78,155
394,-106,6,76,155
408,-99,3,73,153
422,-100,-1,68,148
433,-110,-7,63,144
434,-126,-13,59,143
426,-143,-19,58,144
411,-157,-27,60,146
396,-164,-35,63,147
385,-168,-42,65,145
382,-171,-48,65,139
387,-177,-51,62,130
397,-187,-52,54,120
410,-199,-51,45,111
420,-207,-49,37,106
425,-211,-46,32,104
423,-209,-43,32,106
414,-203,-39,36,109
403,-196,-36,42,111
396,-192,-32,48,111
394,-191,-31,52,109
397,-192,-31,53,105
399,-194,-30,52,102
394,-197,-28,50,101
381,-199,-24,47,102
363,-200,-18,43,104
352,-200,-13,39,107
357,-199,-12,38,110
379,-196,-15,42,113
411,-190,-21,50,117
438,-180,-24,63,121
446,-169,-22,76,126
432,-157,-14,86,131
404,-147,-3,90,133
379,-139,9,89,132
372,-134,16,84,127
386,-130,18,81,120
414,-123,15,82,114
438,-114,11,87,112
445,-102,7,93,113
429,-90,5,97,117
400,-83,3,98,118
371,-81,1,94,115
356,-83,-3,90,108
359,-84,-8,87,100
376,-79,-11,89,93
400,-66,-10,95,91
418,-46,-5,103,94
426,-24,3,113,98
423,-6,9,121,101
411,4,10,127,101
393,7,5,129,98
374,8,-4,127,94
356,9,-13,122,90
343,14,-19,114,87
339,21,-20,106,84
342,26,-18,97,81
353,27,-15,89,78
366,23,-16,81,75
376,18,-20,74,72
380,14,-24,69,70
378,14,-26,68,66
378,20,-27,72,61
383,30,-26,80,53
398,42,-28,90,45
418,54,-32,100,37
435,65,-38,107,32
439,73,-43,109,29
428,77,-45,107,30
406,78,-44,102,33
385,77,-40,95,34
375,74,-37,87,31
381,70,-36,78,24
394,65,-35,71,13
406,59,-34,66,3
407,52,-31,64,-3
398,46,-26,65,-5
389,40,-22,67,-5
390,38,-22,70,-7
402,39,-25,72,-13
420,42,-31,72,-23
431,45,-37,71,-32
428,47,-37,70,-34
413,47,-31,67,-29
400,48,-20,63,-19
